ID,Name,Price,Quantity,Category,Supplier_ID
0,product_name_0,17.53,1,Automotive,supplier_0@gmail.com
1,product_name_1,97.26,3,Pet Supplies,supplier_0@gmail.com
2,product_name_2,38.75,5,Fashion,supplier_1@gmail.com
3,product_name_3,38.91,9,Fashion,supplier_1@gmail.com
4,product_name_4,78.19,4,"Food, Grocery",supplier_2@gmail.com
5,product_name_5,15.44,3,Outdoors,supplier_2@gmail.com
6,product_name_6,30.03,4,"Food, Grocery",supplier_3@gmail.com
7,product_name_7,32.81,3,Pet Supplies,supplier_3@gmail.com
8,product_name_8,94.72,1,Entertainments,supplier_4@gmail.com
9,product_name_9,80.25,2,"Home, Garden",supplier_4@gmail.com
10,product_name_10,31.68,3,Smart Home,supplier_5@gmail.com
11,product_name_11,80.26,5,Books,supplier_5@gmail.com
12,product_name_12,14.31,6,Pet Supplies,supplier_6@gmail.com
13,product_name_13,26.38,9,Computers,supplier_6@gmail.com
14,product_name_14,43.33,1,Entertainments,supplier_7@gmail.com
15,product_name_15,49.17,8,"Home, Garden",supplier_7@gmail.com
16,product_name_16,35.19,4,Smart Home,supplier_8@gmail.com
17,product_name_17,50.17,8,"Home, Garden",supplier_8@gmail.com
18,product_name_18,19.29,1,Outdoors,supplier_9@gmail.com
19,product_name_19,18.43,4,"Food, Grocery",supplier_9@gmail.com
20,product_name_20,68.73,8,Books,supplier_10@gmail.com
21,product_name_21,11.39,3,Automotive,supplier_10@gmail.com
22,product_name_22,75.11,5,Sports,supplier_11@gmail.com
23,product_name_23,55.96,2,"Beauty, Health",supplier_11@gmail.com
24,product_name_24,71.89,5,Books,supplier_12@gmail.com
25,product_name_25,36.77,5,Books,supplier_12@gmail.com
26,product_name_26,21.9,8,Computers,supplier_13@gmail.com
27,product_name_27,34.97,9,Books,supplier_13@gmail.com
28,product_name_28,28.39,3,Outdoors,supplier_14@gmail.com
29,product_name_29,56.17,1,Entertainments,supplier_14@gmail.com
30,product_name_30,43.25,8,Automotive,supplier_15@gmail.com
31,product_name_31,91.05,9,Sports,supplier_15@gmail.com
32,product_name_32,88.37,8,"Home, Garden",supplier_16@gmail.com
33,product_name_33,21.46,7,Fashion,supplier_16@gmail.com
34,product_name_34,31.53,8,Smart Home,supplier_17@gmail.com
35,product_name_35,46.36,4,"Beauty, Health",supplier_17@gmail.com
36,product_name_36,17.66,9,"Beauty, Health",supplier_18@gmail.com
37,product_name_37,41.72,8,"Beauty, Health",supplier_18@gmail.com
38,product_name_38,57.95,6,"Beauty, Health",supplier_19@gmail.com
39,product_name_39,11.28,5,Smart Home,supplier_19@gmail.com
40,product_name_40,42.98,5,Computers,supplier_20@gmail.com
41,product_name_41,82.82,7,Pet Supplies,supplier_20@gmail.com
42,product_name_42,39.76,6,"Food, Grocery",supplier_21@gmail.com
43,product_name_43,18.9,7,"Home, Garden",supplier_21@gmail.com
44,product_name_44,16.12,4,"Toy, Kids",supplier_22@gmail.com
45,product_name_45,52.2,3,Books,supplier_22@gmail.com
46,product_name_46,63.0,4,Outdoors,supplier_23@gmail.com
47,product_name_47,58.45,6,Pet Supplies,supplier_23@gmail.com
48,product_name_48,12.86,3,Computers,supplier_24@gmail.com
49,product_name_49,92.45,3,Smart Home,supplier_24@gmail.com
50,product_name_50,52.74,5,Smart Home,supplier_25@gmail.com
51,product_name_51,66.58,1,"Home, Garden",supplier_25@gmail.com
52,product_name_52,85.98,3,Electronics,supplier_26@gmail.com
53,product_name_53,89.54,3,"Home, Garden",supplier_26@gmail.com
54,product_name_54,88.43,6,"Beauty, Health",supplier_27@gmail.com
55,product_name_55,30.0,1,"Beauty, Health",supplier_27@gmail.com
56,product_name_56,13.8,4,"Home, Garden",supplier_28@gmail.com
57,product_name_57,91.98,1,"Toy, Kids",supplier_28@gmail.com
58,product_name_58,61.75,2,"Beauty, Health",supplier_29@gmail.com
59,product_name_59,85.78,1,"Food, Grocery",supplier_29@gmail.com
60,product_name_60,52.37,7,Sports,supplier_30@gmail.com
61,product_name_61,57.68,5,"Toy, Kids",supplier_30@gmail.com
62,product_name_62,89.34,6,Fashion,supplier_31@gmail.com
63,product_name_63,38.21,8,Automotive,supplier_31@gmail.com
64,product_name_64,37.32,6,Computers,supplier_32@gmail.com
65,product_name_65,14.3,1,Books,supplier_32@gmail.com
66,product_name_66,99.1,9,Entertainments,supplier_33@gmail.com
67,product_name_67,14.41,4,Outdoors,supplier_33@gmail.com
68,product_name_68,57.94,8,"Toy, Kids",supplier_34@gmail.com
69,product_name_69,34.38,4,"Beauty, Health",supplier_34@gmail.com
